student_id,fall_diag,winter_diag,fsa_ela,gender,ethnicity,retained,attendance,behavior
3589571608,539,539,4,M,Caucasian,NO,NO,NO
3594091608,487,489,3,M,African American,NO,NO,NO
3594321508,498,511,2,M,African American,YES,NO,NO
3594341608,503,521,3,M,African American,NO,NO,NO
4804292858,520,548,4,F,Caucasian,NO,NO,NO
4804295625,507,543,2,F,African American,NO,NO,NO
3576071808,512,494,3,M,Caucasian,no,yes,yes
3535311408,433,486,1,M,African American,yes,no,yes
3537471808,550,598,5,M,Caucasian,no,yes,yes
3558071508,472,464,1,M,African American,no,no,yes
3573231309,495,528,3,F,African American,no,yes,yes
3597741508,555,556,4,F,Caucasian,no,no,yes
3584271508,515,535,3,M,Caucasian,no,no,yes
3571471509,505,515,2,F,African American,no,no,yes
3594151577,583,583,5,M,African American,no,no,no
3538251508,557,529,2,M,Caucasian,no,no,no
3547121591,572,572,5,F,Caucasian,no,no,no
3512991408,546,544,3,M,Caucasian,no,no,no
4804266071,569,567,4,F,Hispanic,no,yes,no
4804244929,505,525,3,F,Hispanic,no,yes,no
3530301431,522,564,3,F,Caucasian,yes,yes,no
3527751508,523,531,3,M,Multi-Racial,no,yes,no
4804251324,535,547,4,F,African American,no,yes,no
3517521308,414,414,1,M,African American,yes,yes,no
3538141535,552,556,4,M,Multi-Racial,no,yes,no
3570291408,491,543,3,M,African American,yes,yes,no
3577091588,597,554,5,F,Caucasian,no,yes,no
3594231409,495,514,3,M,African American,no,yes,no
3531971436,498,532,3,F,Hispanic,no,yes,no
3586071534,536,539,2,F,Caucasian,no,yes,no
3591801508,501,553,3,M,African American,no,yes,no
3558571508,431,514,2,F,Caucasian,no,yes,no
3577461512,467,529,3,M,Caucasian,no,yes,no
3579121436,407,463,1,F,Hispanic,yes,yes,no
3578671508,481,520,2,F,Multi-Racial,no,yes,no
3527541508,536,557,4,M,Caucasian,no,yes,no
3576911508,512,510,2,M,Caucasian,no,yes,no
3532801545,553,577,4,M,Multi-Racial,no,no,no
3592921608,593,614,5,M,Multi-Racial,no,no,no
3554491536,558,551,3,F,Caucasian,no,no,no
3573751577,512,531,3,F,African American,no,no,no
3569911508,486,478,2,F,Hispanic,no,no,no
3515041508,521,560,3,F,Multi-Racial,no,no,no
3530981408,537,531,4,M,Caucasian,yes,no,no
3507951708,526,573,3,F,Caucasian,no,no,no
3580081508,590,595,4,F,Caucasian,no,no,no
3571301431,433,472,2,M,African American,yes,no,no
3571770960,473,535,3,F,African American,yes,no,no
3553261408,437,475,1,F,Hispanic,yes,no,no
1300604301,515,548,3,F,African American,no,no,no
3555201209,526,573,4,M,African American,no,no,no
3512401409,472,488,2,F,Hispanic,no,no,no
3535211535,516,544,3,M,Multi-Racial,no,no,no
3560431408,478,544,3,F,Caucasian,yes,no,no
3530351808,504,504,4,F,Hispanic,no,no,no
3556371235,500,513,2,F,Hispanic,no,no,no
3569011535,578,586,4,M,Hispanic,no,no,no
3572921508,546,571,5,M,Caucasian,no,no,no
3581931508,568,587,5,M,Caucasian,no,no,no
3510551409,463,512,3,F,Caucasian,yes,no,no
3567731587,563,570,4,F,Caucasian,no,no,no
3577201309,487,519,3,F,Caucasian,yes,no,no
3515661599,402,410,1,M,Hispanic,no,no,no
3556661508,499,499,2,M,Hispanic,no,no,no
3532391508,526,546,3,F,Caucasian,no,no,no
3545691508,493,538,3,F,Caucasian,no,no,no
3557181608,516,525,2,F,Caucasian,no,no,no
3513081509,490,506,3,F,African American,no,no,no
3597701508,543,565,3,M,African American,no,no,no
3533011335,424,472,1,M,Hispanic,no,no,no
3553261508,523,543,3,F,Hispanic,no,no,no
3577121508,493,468,2,M,Hispanic,no,no,no
3548671509,492,498,3,F,Caucasian,no,no,no
3556041536,488,517,3,M,Caucasian,no,no,no
3571491808,540,563,5,M,Caucasian,no,no,no
3531971408,457,449,2,M,Hispanic,yes,no,no
5926006517,501,501,2,F,African American,no,no,no
3580841435,496,539,3,F,African American,no,no,no
3508421508,551,558,3,M,Caucasian,no,no,no
3515361508,559,546,3,M,Caucasian,no,no,no
3531461508,612,593,5,F,Caucasian,no,no,no
3571921508,503,522,4,F,Caucasian,no,no,no
3582191508,522,554,5,F,Caucasian,no,no,no
3592081508,529,534,3,F,Caucasian,no,no,no
3535761308,497,519,3,M,Caucasian,yes,no,no
