student_id,fall_diag,winter_diag,fsa_math,gender,ethnicity,retained,attendance,behavior,passed
3538141535,416,450,3,M,Multi-Racial,no,yes,no,0
3570291408,448,462,3,M,African American,yes,yes,no,0
3594231409,438,451,3,M,African American,no,yes,no,0
3531971436,433,440,3,F,Hispanic,no,yes,no,0
3586071534,434,452,3,F,Caucasian,no,yes,no,0
3591801508,441,459,3,M,African American,no,yes,no,0
3558571508,418,460,3,F,Caucasian,no,yes,no,0
3577461512,419,444,3,M,Caucasian,no,yes,no,0
3573751577,436,455,3,F,African American,no,no,no,0
3515041508,436,456,3,F,Multi-Racial,no,no,no,0
3535211535,441,448,3,M,Multi-Racial,no,no,no,0
3577201309,442,451,3,F,Caucasian,yes,no,no,0
3532391508,441,454,3,F,Caucasian,no,no,no,0
3577121508,428,437,3,M,Hispanic,no,no,no,0
3556041536,452,441,3,M,Caucasian,no,no,no,0
3580841435,432,441,3,F,African American,no,no,no,0
3515361508,449,448,3,M,Caucasian,no,no,no,0
3571921508,422,442,3,F,Caucasian,no,no,no,0
3535761308,435,449,3,M,Caucasian,yes,no,no,0
3505181649,456,446,4,M,Caucasian,NO,NO,NO,1
3507461649,457,460,4,M,Caucasian,NO,NO,NO,1
3510261513,427,475,4,M,Caucasian,NO,NO,NO,1
3510291649,456,458,4,M,Caucasian,NO,NO,NO,1
3517311649,430,436,4,M,Caucasian,NO,NO,NO,1
3517401649,428,465,4,F,Hispanic,NO,NO,NO,1
3517711849,439,464,4,M,Caucasian,NO,NO,NO,1
3518351504,434,457,4,F,Hispanic,NO,NO,NO,1
3519911649,458,455,4,M,Caucasian,NO,NO,NO,1
3529091649,456,465,4,F,African American,NO,NO,NO,1
3550321531,447,456,4,M,Hispanic,NO,NO,NO,1
3551201849,434,460,4,M,Hispanic,NO,NO,NO,1
3551341649,426,461,4,M,Caucasian,NO,NO,NO,1
3553311849,425,439,4,F,African American,NO,NO,NO,1
3553381622,463,466,4,F,Caucasian,NO,NO,NO,1
3554711649,441,473,4,F,Hispanic,NO,NO,NO,1
4804291888,450,465,4,M,Caucasian,NO,NO,NO,1
3558501649,422,463,4,M,Caucasian,NO,NO,NO,1
3559751649,452,455,4,M,Asian,NO,NO,NO,1
3560411613,425,420,4,F,Caucasian,NO,NO,NO,1
3569281649,446,456,4,F,Caucasian,NO,NO,NO,1
3569711649,441,455,4,F,Caucasian,NO,NO,NO,1
3579541649,438,453,4,M,Hispanic,NO,NO,NO,1
3581171649,476,458,4,F,Caucasian,NO,NO,NO,1
3581511613,438,455,4,M,Caucasian,NO,NO,NO,1
3585071849,437,456,4,M,Caucasian,NO,NO,NO,1
3593131622,448,465,4,F,Caucasian,NO,NO,NO,1
3593521604,470,491,4,M,Caucasian,NO,NO,NO,1
1816000908,442,464,4,M,Caucasian,NO,NO,NO,1
3505731608,421,438,4,M,Hispanic,NO,NO,NO,1
3511241635,424,436,4,F,African American,NO,NO,NO,1
3528251608,420,444,4,M,Caucasian,NO,NO,NO,1
3530191608,449,462,4,M,African American,NO,NO,NO,1
3551991508,438,462,4,M,Hispanic,YES,NO,NO,1
3553371535,457,467,4,F,African American,NO,NO,NO,1
3559751988,454,472,4,F,African American,NO,NO,NO,1
3564921608,440,463,4,F,Caucasian,NO,NO,NO,1
3569911060,443,478,4,M,African American,NO,YES,NO,1
3574761608,445,463,4,M,Hispanic,NO,NO,NO,1
3577631060,446,462,4,F,African American,NO,NO,NO,1
3583561708,454,475,4,M,Caucasian,NO,NO,NO,1
4804292858,423,447,4,F,Caucasian,NO,NO,NO,1
4804295625,431,444,4,F,African American,NO,NO,NO,1
3537471808,431,452,4,M,Caucasian,no,yes,yes,1
3584271508,438,434,4,M,Caucasian,no,no,yes,1
3547121591,458,455,4,F,Caucasian,no,no,no,1
4804266071,449,452,4,F,Hispanic,no,yes,no,1
3527751508,466,462,4,M,Multi-Racial,no,yes,no,1
3532801545,436,457,4,M,Multi-Racial,no,no,no,1
3554491536,447,437,4,F,Caucasian,no,no,no,1
3530981408,434,453,4,M,Caucasian,yes,no,no,1
3507951708,442,458,4,F,Caucasian,no,no,no,1
3571770960,433,449,4,F,African American,yes,no,no,1
3556371235,452,446,4,F,Hispanic,no,no,no,1
3569011535,451,456,4,M,Hispanic,no,no,no,1
3567731587,456,461,4,F,Caucasian,no,no,no,1
3545691508,427,454,4,F,Caucasian,no,no,no,1
3597701508,439,452,4,M,African American,no,no,no,1
3553261508,440,447,4,F,Hispanic,no,no,no,1
3548671509,445,456,4,F,Caucasian,no,no,no,1
3582191508,450,463,4,F,Caucasian,no,no,no,1
3592081508,433,442,4,F,Caucasian,no,no,no,1
3508041649,465,467,5,F,Caucasian,NO,NO,NO,1
3509881649,476,496,5,M,Caucasian,NO,NO,NO,1
4804301887,437,466,5,M,American Indian,NO,NO,NO,1
3530301649,455,470,5,F,Caucasian,NO,NO,NO,1
3530741649,450,470,5,F,Caucasian,NO,NO,NO,1
3532761649,463,465,5,F,Caucasian,NO,NO,NO,1
3554441649,453,459,5,M,Caucasian,NO,NO,NO,1
3569201649,454,468,5,M,Hispanic,NO,NO,NO,1
3569341649,467,486,5,F,Asian,NO,NO,NO,1
3569331649,480,477,5,F,Asian,NO,NO,NO,1
3572921649,438,460,5,M,Caucasian,NO,NO,NO,1
3589631649,455,466,5,M,Caucasian,NO,NO,NO,1
3527541608,481,467,5,F,Caucasian,NO,NO,NO,1
3545441545,457,469,5,M,African American,NO,NO,NO,1
3546111708,446,471,5,F,Caucasian,NO,NO,NO,1
3548671608,451,467,5,M,Caucasian,NO,NO,NO,1
3551161608,459,493,5,M,Multi-Racial,NO,NO,NO,1
3551491609,443,462,5,M,Multi-Racial,NO,NO,NO,1
3551781635,459,495,5,F,Caucasian,NO,NO,NO,1
3555201608,468,493,5,F,African American,NO,NO,NO,1
3556711608,458,475,5,F,Hispanic,NO,NO,NO,1
3560631608,454,465,5,M,Caucasian,NO,NO,NO,1
3574221608,486,491,5,F,Caucasian,NO,NO,NO,1
3578291608,462,473,5,F,Caucasian,NO,NO,NO,1
3583841608,455,468,5,M,Caucasian,NO,NO,NO,1
3589561608,454,460,5,F,Caucasian,NO,NO,NO,1
3589571608,451,487,5,M,Caucasian,NO,NO,NO,1
3594341608,455,466,5,M,African American,NO,NO,NO,1
3594151577,441,465,5,M,African American,no,no,no,1
3512991408,484,476,5,M,Caucasian,no,no,no,1
3577091588,450,461,5,F,Caucasian,no,yes,no,1
3527541508,451,462,5,M,Caucasian,no,yes,no,1
3576911508,453,450,5,M,Caucasian,no,yes,no,1
3592921608,477,489,5,M,Multi-Racial,no,no,no,1
3580081508,449,468,5,F,Caucasian,no,no,no,1
1300604301,449,460,5,F,African American,no,no,no,1
3555201209,478,478,5,M,African American,no,no,no,1
3560431408,437,459,5,F,Caucasian,yes,no,no,1
3530351808,449,449,5,F,Hispanic,no,no,no,1
3572921508,478,475,5,M,Caucasian,no,no,no,1
3581931508,432,457,5,M,Caucasian,no,no,no,1
3571491808,453,463,5,M,Caucasian,no,no,no,1
3508421508,456,465,5,M,Caucasian,no,no,no,1
3531461508,451,460,5,F,Caucasian,no,no,no,1
