Student ID,Fall_Diag,Winter_Diag
3510221823,423,427
3551671696,401,427
3569341770,402,427
3580121704,414,428
3592681749,421,428
3535751804,431,429
3559041849,416,429
3583031749,408,429
4804328705,413,429
3513111849,425,430
3580551749,385,430
3529181849,399,431
3534091749,435,431
3556731770,409,431
3576151849,412,431
3510021749,411,432
3514701849,409,432
3557801849,419,432
3559351786,413,432
3579081649,405,432
3514731813,406,433
3569541749,411,433
3569711749,406,433
3577521749,406,433
0616160357,420,434
3533691749,406,434
3553051749,435,434
3560301549,405,435
3517311649,430,436
3555521670,425,436
3578351896,421,436
3531111849,439,437
3510781749,408,439
3553311849,425,439
3577961749,418,439
3585641723,411,439
3514741813,422,440
3549111749,414,440
3514841649,409,441
3527891849,409,441
3554891775,411,441
3505181849,423,442
3529051749,424,442
3554381669,433,442
3510171549,443,443
3515361723,423,443
3517421549,431,443
3565621849,409,443
3547211723,413,444
3555521570,421,444
3574681749,417,444
3576991849,423,444
3559941786,430,445
3505181649,456,446
3513031423,448,446
3538311749,432,446
3576151649,424,447
3576991649,438,447
5929005828,425,447
3508261723,416,448
3554531749,445,448
3557801623,447,448
3582021649,429,448
3577011723,423,449
3530481649,431,450
3570101849,430,450
3581311204,414,450
3593521823,399,450
3511661649,435,451
3554491949,412,451
3576161849,426,451
3529191622,423,452
3536471749,446,452
3595731775,443,452
3579541649,438,453
3510911649,404,454
3516221749,446,454
3572921404,435,454
3575961649,437,454
3578281749,442,454
3510301649,439,455
3519911649,458,455
3559751649,452,455
3569711649,441,455
3570151723,413,455
3580261649,434,455
3581511613,438,455
3512421649,436,456
3523291649,426,456
3550321531,447,456
3569281649,446,456
3571781704,432,456
3585071849,437,456
3598881649,432,456
3518351504,434,457
3583721749,432,457
3510291649,456,458
3577481949,439,458
3581171649,476,458
3514901749,447,459
3518811749,432,459
3554441649,453,459
3557701723,422,459
3581861749,466,459
3507461649,457,460
3551201849,434,460
3572921649,438,460
3512811649,446,461
3551341649,426,461
3513671796,445,462
3581071623,438,462
3557011749,436,463
3558501649,422,463
3569551749,445,463
3517711849,439,464
3574421749,445,464
3517401649,428,465
3529091649,456,465
3532761649,463,465
3548521749,445,465
3593131622,448,465
3594261649,442,465
4804291888,450,465
3553381622,463,466
3589631649,455,466
4804301887,437,466
3508041649,465,467
3569201649,454,468
3530301649,455,470
3530741649,450,470
3573671586,439,470
3554711649,441,473
3521041796,451,474
3509771749,463,475
3509781749,454,475
3510261513,427,475
3576001749,454,476
3569331649,480,477
3509791749,462,481
3571001749,469,481
3569341649,467,486
3593521604,470,491
3509881649,476,496
